34,Leforte,"[500,4200]","[-46.6346381,-23.589702]",Vila Mariana,Point,home,2020-05-16T21:36:07.207Z,"[20,86]",female,Farmácia/Unip,Estudante
21,bdhdd,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-15T02:55:38.502Z,"[20,150]",male,gsgsgs,hdhs
23,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-15T07:27:29.973Z,"[20,150]",male,,
22,Capps,"[500,10000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-14T14:43:54.209Z,"[20,500]",male,ITA,Dev
33,Flatmatch,"[500,10000]","[-46.6312586,-23.5599169]",Liberdade,Point,apartment,2020-05-16T20:28:17.157Z,"[31,500]",male,Laureate,Founder
30,Flatmatch,"[500,10000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-05T16:23:54.738Z,"[20,500]",male,Unifei,QA
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-16T11:15:42.041Z,"[20,150]",,,
30,codzen,"[500,7700]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-16T22:06:48.335Z,"[20,317]",male,nenhuma,desenvolver
29,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-18T14:35:50.640Z,"[20,150]",male,,Dev
35,Vivo,"[500,5000]","[-46.6958474,-23.5891837]",Cidade Jardim,Point,apartment,2020-01-19T01:40:43.885Z,"[20,150]",female,Puc,Po
32,Incentivare,"[500,1400]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-21T03:03:36.810Z,"[20,150]",female,Jornalismo / Universidade Católica de Santos,Jornalista
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-21T23:15:52.112Z,"[20,150]",,,
23,Traktor,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-22T17:47:31.598Z,"[20,150]",male,UFPR / administracao,Consultor
19,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-22T18:41:44.596Z,"[20,150]",female,,
23,Traktor,"[2000,3500]","[-46.6346381,-23.589702]",Vila Mariana,Point,apartment,2020-01-22T21:47:32.744Z,"[20,150]",male,UFPR,Marketing
20,Teste,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-23T00:04:14.112Z,"[20,150]",male,Teste,iOS Developer
30,Bullguer,"[500,1200]","[-46.6599426,-23.5457512]",Higienópolis,Point,apartment,2020-01-23T08:49:35.328Z,"[20,500]",male,Universidade Presbiteriana Mackenzie,Cozinheiro
42,Tribunal Regional Federal SP,"[500,2000]","[-46.65575090000001,-23.5526676]",Consolação,Point,apartment,2020-01-23T15:31:38.436Z,"[20,150]",male,USP,Funcionário Publico
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-24T00:59:34.920Z,"[20,150]",,,
25,ggsgd,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-10T20:59:08.580Z,"[20,150]",female,dhddy,hdhd
27,Azul Linhas Aéreas,"[500,1000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-27T16:24:05.775Z,"[20,150]",male,Universidade Presbiteriana Mackenzie,Comissário de voo
34,Particular,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-28T12:29:53.969Z,"[20,150]",female,Belas artes,Chef de cozinha
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-29T02:36:37.959Z,"[20,150]",,,
32,Husky IMS,"[500,3000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-24T23:42:35.007Z,"[20,150]",,MBA,Gerente
26,Ambev,"[500,5000]","[-46.6346381,-23.589702]",Vila Mariana,Point,apartment,2020-01-30T21:22:06.764Z,"[20,150]",male,Engenharia mecatrônica/USP,Engenheiro
24,Dois Ellis,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-30T21:32:54.805Z,"[20,150]",male,Marketing,Analista de Dados
26,Cvc corp,"[500,2500]","[-46.67294829999999,-23.5734145]",Jardins,Point,apartment,2020-01-30T21:44:11.309Z,"[20,150]",male,Anhanguera,Advogado
35,Telefônica,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-01-30T21:56:10.790Z,"[20,150]",female,Universidade federal do Paraná,Po
39,Bla,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-21T01:15:41.121Z,"[20,150]",male,Bla,Amigo do Nelson
25,Evoluservices,"[500,1400]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-01T03:34:06.877Z,"[20,150]",female,Senac,Consultora de novos negócios
27,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-01T14:44:56.440Z,"[20,150]",,,Bartender
18,7M Boots,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-01T23:17:04.717Z,"[20,150]",,,Vendedora
26,Museu Catavento,"[500,5000]","[-106.346771,56.130366]",Canada,Point,apartment,2020-02-02T04:17:30.238Z,"[20,150]",female,Pedagogia/ Unifesp,Estudante
21,Nenhuma,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-02T06:42:11.586Z,"[20,150]",female,Farmácia - USP,Estudante
24,Assembleia legislativa,"[500,1500]","[-49.2647943,-16.68689119999999]",Goiânia,Point,apartment,2020-02-02T16:37:49.279Z,"[20,74]",female,Graduação Direito,Estudante
39,Hospital Santo Antônio,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-04T03:18:50.855Z,"[20,150]",male,Faculdade Anhanguera,Enfermeiro
33,Amigo do nelson,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-05T15:59:31.278Z,"[20,150]",male,Nelson academy,Amigo do nelson
32,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-06T07:43:14.602Z,"[20,150]",female,,
24,Nenhuma,"[500,1500]","[-46.4244141,-23.8916151]",Cubatão,Point,apartment,2020-02-06T10:28:13.189Z,"[20,150]",male,IFSP Instituto Federal De São Paulo,Estudante
26,Autônomo,"[500,1000]","[-46.69770159999999,-23.5014967]",Freguesia do Ó,Point,home,2020-02-07T11:40:35.236Z,"[20,150]",female,Não fiz faculdade ensino médio completo,Autônomo
30,Motorla,"[500,9800]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-07T01:07:04.260Z,"[20,150]",male,Anhembi Morumbi,Design
27,Flat,"[500,9400]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-05-08T14:40:55.480Z,"[20,368]",male,USF,Marketer
27,Xli nobreaks,"[500,1100]","[-46.73358859999999,-23.5324298]",Vila Leopoldina,Point,apartment,2020-02-07T03:22:11.482Z,"[20,150]",male,Engenheiro eletricista,Analista Técnico
26,Mrv,"[500,1000]","[-46.7114185,-23.5227337]",Lapa,Point,apartment,2020-02-07T03:18:08.088Z,"[20,150]",,,Engenheiro civil
17,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-07T06:47:24.607Z,"[20,150]",male,,
22,Riachuelo,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-07T13:01:57.849Z,"[20,150]",male,Superior,Engenheiro de software
27,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-07T15:19:16.844Z,"[20,150]",male,,
33,@não,"[500,1700]","[-46.64564259999999,-23.5554048]",Bela Vista,Point,apartment,2020-02-07T15:59:17.488Z,"[20,150]",male,UNIP,Estudante
21,Bunker,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-07T23:49:08.909Z,"[20,150]",,Engenharia,Desenvolvedor
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-08T02:03:03.337Z,"[20,150]",,,
30,MC1 Win The Market,"[500,800]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-08T06:04:29.157Z,"[20,150]",male,Universidade Anhembi Morumbi,Administrador de Sistemas TI
32,Autônoma,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-08T17:20:29.031Z,"[20,150]",female,Unisal,Advogada
22,Smc,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-09T08:43:24.124Z,"[20,150]",male,Smc,Estudante
36,X,"[1800,2700]","[-46.6975656,-23.5514369]",Vila Madalena,Point,apartment,2020-02-09T09:55:33.681Z,"[20,114]",male,Poli,Engenheiro
28,Opentext,"[500,1700]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-09T13:15:35.247Z,"[20,150]",female,Ciencia da Computação,Analista de TI
24,Hattuns,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-09T14:27:10.637Z,"[20,150]",male,Análise de Sistemas - IFPi,Desenvolvedor
34,Autônoma,"[500,2000]","[-46.6312586,-23.5599169]",Liberdade,Point,apartment,2020-02-11T17:28:22.289Z,"[20,150]",female,Superior incompleto,Autônoma
21,KFC,"[500,1200]","[-46.65744189999999,-23.5109881]",Casa Verde,Point,home,2020-02-10T04:15:16.856Z,"[20,500]",female,,Atendente
31,Autonomo,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-10T04:20:57.557Z,"[20,150]",female,FMU Educação Física,Professora
