Empreend;Empreendimento;Regional;Marca;Bloco;Unidade;Dt de Venc; Valor ;Data base;aging;faixa;Tipo
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-abr-20; 4.659,42 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;28-mai-20; 16.176,95 ;30/04/2021;365;>360;TRIMESTRAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-mai-20; 4.409,62 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-jun-20; 4.661,42 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;28-ago-20; 16.182,98 ;30/04/2021;365;>360;TRIMESTRAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-set-20; 4.737,16 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-out-20; 4.737,46 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;28-nov-20; 16.185,91 ;30/04/2021;365;>360;TRIMESTRAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-nov-20; 4.478,32 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-dez-20; 4.747,58 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-jan-21; 4.752,95 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;28-fev-21; 16.209,04 ;30/04/2021;365;>360;TRIMESTRAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;28-fev-21; 4.478,31 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-mar-21; 4.763,05 ;30/04/2021;365;>360;MENSAL
9610;DUETTO RESIDENCIAL & LAZER - DAÇÃO;Rio de Janeiro;CYRELA;01;000207;30-abr-21; 4.768,30 ;30/04/2021;365;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;03-fev-20; 810,48 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;02-jan-20; 798,68 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;02-dez-19; 785,32 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-nov-19; 776,96 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-out-19; 776,04 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;02-set-19; 764,04 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-ago-19; 750,00 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-jul-19; 12.097,65 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-jun-19; 12.081,38 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-mai-19; 12.067,05 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-abr-19; 12.061,37 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-mar-19; 12.059,99 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-fev-19; 12.061,67 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-jan-19; 12.045,67 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-dez-18; 12.022,57 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-nov-18; 12.006,48 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-out-18; 12.004,54 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-set-18; 11.995,55 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-ago-18; 11.974,58 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-jul-18; 11.969,64 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-set-20; 927,24 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;03-ago-20; 902,10 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-jul-20; 891,28 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-jun-20; 875,90 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;04-mai-20; 854,94 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;01-abr-20; 1.027,48 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;02-mar-20; 835,58 ;30/04/2021;2516;>360;ANUAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-abr-16; 11.722,95 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-mar-16; 11.714,94 ;30/04/2021;2516;>360;MENSAL
8136;VITRINE UMARIZAL;Norte;CYRELA;01;000601;10-fev-16; 11.710,22 ;30/04/2021;2516;>360;MENSAL
