Cliente;Regional;Obra;Bloco;Unidade;Dt Venda;Dt Chaves; Saldo Devedor ; Valor Pago Atualizado ; Valor Pago ;VGV
CLIENTE 1;São Paulo;8312;01;000118;31/03/2021;01/07/2023;403807,31; R$ 301.200,45 ; R$ 30.275,75 ; R$ 434.083,06 
CLIENTE 2;São Paulo;8312;01;000208;31/08/2020;01/07/2023;551115,05; R$ 194.088,88 ; R$ 179.156,54 ; R$ 730.271,59 
CLIENTE 3;São Paulo;8312;01;000212;16/11/2020;01/07/2023;362792,5; R$ 87.043,19 ; R$ 81.860,36 ; R$ 444.652,86 
CLIENTE 4;São Paulo;8312;01;000220;29/12/2020;01/07/2023;444074,58; R$ 27.406,76 ; R$ 26.850,52 ; R$ 470.925,10 
CLIENTE 5;São Paulo;8312;01;000304;10/09/2020;01/07/2023;274206,06; R$ 152.861,05 ; R$ 147.521,52 ; R$ 421.727,58 
CLIENTE 6;São Paulo;8312;01;000305;14/09/2020;01/07/2023;434649,18; R$ 33.091,80 ; R$ 30.644,31 ; R$ 465.293,49 
CLIENTE 7;São Paulo;8312;01;000311;31/08/2020;01/07/2023;397641,02; R$ 53.833,40 ; R$ 49.549,54 ; R$ 447.190,56 
CLIENTE 8;São Paulo;8312;01;000312;30/09/2020;01/07/2023;439538,18; R$ 24.798,72 ; R$ 23.765,07 ; R$ 463.303,25 
CLIENTE 9;São Paulo;8312;01;000313;31/08/2020;01/07/2023;280373,12; R$ 152.197,90 ; R$ 138.957,47 ; R$ 419.330,59 
CLIENTE 10;São Paulo;8312;01;000315;25/08/2020;01/07/2023;425112,83; R$ 32.826,92 ; R$ 31.003,69 ; R$ 456.116,52 
CLIENTE 11;São Paulo;8312;01;000317;25/08/2020;01/07/2023;425112,79; R$ 32.793,54 ; R$ 30.944,92 ; R$ 456.057,71 
CLIENTE 12;São Paulo;8312;01;000320;10/09/2020;01/07/2023;251026,73; R$ 183.886,72 ; R$ 170.294,22 ; R$ 421.320,95 
CLIENTE 13;São Paulo;8312;01;000321;18/09/2020;01/07/2023;359275,61; R$ 77.065,50 ; R$ 73.456,06 ; R$ 432.731,67 
